Counter({56: 1619, 59: 1607, 55: 1605, 53: 1599, 57: 1575, 60: 1575, 51: 1571, 54: 1547, 58: 1546, 61: 1538, 52: 1527, 62: 1508, 64: 1504, 47: 1497, 50: 1497, 63: 1494, 49: 1493, 66: 1486, 48: 1476, 46: 1468, 65: 1462, 45: 1403, 67: 1402, 44: 1385, 68: 1360, 69: 1330, 72: 1322, 43: 1310, 70: 1284, 71: 1283, 42: 1281, 73: 1231, 74: 1226, 76: 1200, 78: 1198, 41: 1193, 40: 1164, 75: 1133, 79: 1126, 77: 1117, 80: 1089, 82: 1063, 39: 1045, 83: 1044, 81: 1020, 38: 964, 37: 947, 84: 939, 85: 906, 86: 894, 88: 877, 87: 871, 36: 867, 89: 841, 35: 812, 93: 776, 90: 766, 91: 753, 92: 747, 94: 734, 34: 721, 95: 715, 96: 684, 99: 626, 98: 621, 33: 619, 97: 608, 32: 599, 101: 580, 100: 559, 103: 541, 31: 518, 102: 518, 105: 508, 104: 490, 106: 485, 107: 462, 108: 454, 30: 446, 109: 444, 112: 431, 110: 423, 111: 403, 113: 382, 115: 380, 29: 378, 116: 370, 114: 364, 119: 350, 28: 341, 118: 322, 121: 320, 120: 307, 117: 304, 122: 291, 123: 282, 125: 280, 27: 275, 124: 260, 26: 235, 126: 235, 128: 235, 127: 222, 129: 220, 131: 216, 130: 211, 133: 211, 132: 202, 135: 187, 134: 180, 138: 174, 140: 171, 25: 170, 136: 165, 137: 163, 24: 160, 141: 156, 142: 153, 139: 148, 144: 139, 149: 126, 143: 124, 148: 124, 23: 123, 146: 122, 145: 113, 151: 111, 150: 109, 147: 104, 22: 99, 154: 96, 156: 96, 159: 96, 153: 92, 152: 91, 155: 91, 157: 86, 164: 78, 21: 74, 158: 73, 160: 73, 161: 71, 163: 65, 168: 63, 169: 61, 166: 60, 162: 59, 20: 56, 170: 56, 173: 56, 167: 54, 172: 54, 174: 50, 165: 46, 175: 44, 171: 43, 180: 40, 181: 40, 177: 39, 179: 39, 187: 36, 176: 34, 178: 34, 184: 34, 189: 34, 195: 34, 18: 32, 186: 32, 188: 31, 182: 30, 183: 29, 19: 28, 185: 28, 193: 28, 200: 27, 192: 26, 191: 25, 204: 25, 190: 24, 197: 24, 203: 20, 205: 20, 201: 19, 198: 18, 206: 18, 199: 16, 210: 16, 17: 15, 194: 15, 196: 15, 202: 15, 16: 14, 208: 14, 220: 14, 207: 13, 209: 13, 215: 13, 219: 13, 217: 11, 218: 11, 213: 10, 226: 10, 227: 10, 212: 9, 221: 9, 15: 8, 211: 8, 216: 8, 223: 8, 237: 8, 14: 7, 214: 7, 225: 7, 243: 7, 224: 6, 238: 6, 239: 6, 240: 6, 247: 6, 233: 5, 235: 5, 241: 5, 254: 5, 228: 4, 229: 4, 231: 4, 234: 4, 246: 4, 248: 4, 253: 4, 256: 4, 260: 4, 267: 4, 268: 4, 12: 3, 222: 3, 236: 3, 242: 3, 249: 3, 251: 3, 258: 3, 261: 3, 271: 3, 283: 3, 13: 2, 244: 2, 250: 2, 252: 2, 255: 2, 257: 2, 262: 2, 266: 2, 269: 2, 274: 2, 284: 2, 285: 2, 312: 2, 9: 1, 10: 1, 11: 1, 230: 1, 245: 1, 259: 1, 263: 1, 264: 1, 265: 1, 272: 1, 273: 1, 277: 1, 281: 1, 282: 1, 286: 1, 289: 1, 291: 1, 294: 1, 295: 1, 296: 1, 297: 1, 321: 1, 322: 1, 327: 1, 340: 1, 346: 1, 347: 1, 356: 1})
#Codons	#Counts	#Probability	#p-value
9	1	1e-05	1.0
10	1	1e-05	0.99999
11	1	1e-05	0.99998
12	3	3e-05	0.99997
13	2	2e-05	0.99994
14	7	7e-05	0.99992
15	8	8e-05	0.99985
16	14	0.00014	0.99977
17	15	0.00015	0.99963
18	32	0.00032	0.99948
19	28	0.00028	0.99916
20	56	0.00056	0.99888
21	74	0.00074	0.99832
22	99	0.00099	0.99758
23	123	0.00123	0.99659
24	160	0.0016	0.99536
25	170	0.0017	0.99376
26	235	0.00235	0.99206
27	275	0.00275	0.98971
28	341	0.00341	0.98696
29	378	0.00378	0.98355
30	446	0.00446	0.97977
31	518	0.00518	0.97531
32	599	0.00599	0.97013
33	619	0.00619	0.96414
34	721	0.00721	0.95795
35	812	0.00812	0.95074
36	867	0.00867	0.94262
37	947	0.00947	0.93395
38	964	0.00964	0.92448
39	1045	0.01045	0.91484
40	1164	0.01164	0.90439
41	1193	0.01193	0.89275
42	1281	0.01281	0.88082
43	1310	0.0131	0.86801
44	1385	0.01385	0.85491
45	1403	0.01403	0.84106
46	1468	0.01468	0.82703
47	1497	0.01497	0.81235
48	1476	0.01476	0.79738
49	1493	0.01493	0.78262
50	1497	0.01497	0.76769
51	1571	0.01571	0.75272
52	1527	0.01527	0.73701
53	1599	0.01599	0.72174
54	1547	0.01547	0.70575
55	1605	0.01605	0.69028
56	1619	0.01619	0.67423
57	1575	0.01575	0.65804
58	1546	0.01546	0.64229
59	1607	0.01607	0.62683
60	1575	0.01575	0.61076
61	1538	0.01538	0.59501
62	1508	0.01508	0.57963
63	1494	0.01494	0.56455
64	1504	0.01504	0.54961
65	1462	0.01462	0.53457
66	1486	0.01486	0.51995
67	1402	0.01402	0.50509
68	1360	0.0136	0.49107
69	1330	0.0133	0.47747
70	1284	0.01284	0.46417
71	1283	0.01283	0.45133
72	1322	0.01322	0.4385
73	1231	0.01231	0.42528
74	1226	0.01226	0.41297
75	1133	0.01133	0.40071
76	1200	0.012	0.38938
77	1117	0.01117	0.37738
78	1198	0.01198	0.36621
79	1126	0.01126	0.35423
80	1089	0.01089	0.34297
81	1020	0.0102	0.33208
82	1063	0.01063	0.32188
83	1044	0.01044	0.31125
84	939	0.00939	0.30081
85	906	0.00906	0.29142
86	894	0.00894	0.28236
87	871	0.00871	0.27342
88	877	0.00877	0.26471
89	841	0.00841	0.25594
90	766	0.00766	0.24753
91	753	0.00753	0.23987
92	747	0.00747	0.23234
93	776	0.00776	0.22487
94	734	0.00734	0.21711
95	715	0.00715	0.20977
96	684	0.00684	0.20262
97	608	0.00608	0.19578
98	621	0.00621	0.1897
99	626	0.00626	0.18349
100	559	0.00559	0.17723
101	580	0.0058	0.17164
102	518	0.00518	0.16584
103	541	0.00541	0.16066
104	490	0.0049	0.15525
105	508	0.00508	0.15035
106	485	0.00485	0.14527
107	462	0.00462	0.14042
108	454	0.00454	0.1358
109	444	0.00444	0.13126
110	423	0.00423	0.12682
111	403	0.00403	0.12259
112	431	0.00431	0.11856
113	382	0.00382	0.11425
114	364	0.00364	0.11043
115	380	0.0038	0.10679
116	370	0.0037	0.10299
117	304	0.00304	0.09929
118	322	0.00322	0.09625
119	350	0.0035	0.09303
120	307	0.00307	0.08953
121	320	0.0032	0.08646
122	291	0.00291	0.08326
123	282	0.00282	0.08035
124	260	0.0026	0.07753
125	280	0.0028	0.07493
126	235	0.00235	0.07213
127	222	0.00222	0.06978
128	235	0.00235	0.06756
129	220	0.0022	0.06521
130	211	0.00211	0.06301
131	216	0.00216	0.0609
132	202	0.00202	0.05874
