#Codons	#Counts	#Probability	#p-value
20	4	4e-05	1.0
21	3	3e-05	0.99996
24	19	0.00019	0.99993
26	3	3e-05	0.99974
27	13	0.00013	0.99971
28	27	0.00027	0.99958
29	4	4e-05	0.99931
30	10	0.0001	0.99927
31	13	0.00013	0.99917
32	44	0.00044	0.99904
33	9	9e-05	0.9986
34	37	0.00037	0.99851
35	8	8e-05	0.99814
36	75	0.00075	0.99806
37	33	0.00033	0.99731
38	12	0.00012	0.99698
39	17	0.00017	0.99686
40	6	6e-05	0.99669
41	93	0.00093	0.99663
42	76	0.00076	0.9957
43	11	0.00011	0.99494
44	90	0.0009	0.99483
45	207	0.00207	0.99393
46	53	0.00053	0.99186
47	13	0.00013	0.99133
48	66	0.00066	0.9912
49	66	0.00066	0.99054
50	15	0.00015	0.98988
51	58	0.00058	0.98973
52	198	0.00198	0.98915
53	210	0.0021	0.98717
54	79	0.00079	0.98507
55	505	0.00505	0.98428
56	476	0.00476	0.97923
57	128	0.00128	0.97447
58	154	0.00154	0.97319
59	488	0.00488	0.97165
60	7	7e-05	0.96677
61	435	0.00435	0.9667
62	99	0.00099	0.96235
63	643	0.00643	0.96136
64	163	0.00163	0.95493
65	335	0.00335	0.9533
66	340	0.0034	0.94995
67	2012	0.02012	0.94655
68	1142	0.01142	0.92643
69	450	0.0045	0.91501
70	272	0.00272	0.91051
71	26	0.00026	0.90779
72	479	0.00479	0.90753
73	496	0.00496	0.90274
74	845	0.00845	0.89778
75	5	5e-05	0.88933
77	140	0.0014	0.88928
78	463	0.00463	0.88788
79	2	2e-05	0.88325
80	1095	0.01095	0.88323
81	56	0.00056	0.87228
82	23	0.00023	0.87172
83	81	0.00081	0.87149
84	52	0.00052	0.87068
85	10	0.0001	0.87016
86	1586	0.01586	0.87006
87	614	0.00614	0.8542
88	760	0.0076	0.84806
89	802	0.00802	0.84046
90	4	4e-05	0.83244
91	1546	0.01546	0.8324
92	44	0.00044	0.81694
93	1467	0.01467	0.8165
94	310	0.0031	0.80183
95	7	7e-05	0.79873
96	57	0.00057	0.79866
97	876	0.00876	0.79809
98	182	0.00182	0.78933
99	3064	0.03064	0.78751
100	382	0.00382	0.75687
101	30	0.0003	0.75305
102	215	0.00215	0.75275
103	612	0.00612	0.7506
104	1978	0.01978	0.74448
105	410	0.0041	0.7247
106	182	0.00182	0.7206
107	2037	0.02037	0.71878
108	8	8e-05	0.69841
109	424	0.00424	0.69833
110	35	0.00035	0.69409
111	90	0.0009	0.69374
112	593	0.00593	0.69284
113	404	0.00404	0.68691
114	2974	0.02974	0.68287
115	25	0.00025	0.65313
117	108	0.00108	0.65288
118	2196	0.02196	0.6518
119	238	0.00238	0.62984
120	1334	0.01334	0.62746
122	65	0.00065	0.61412
125	1	1e-05	0.61347
126	720	0.0072	0.61346
127	759	0.00759	0.60626
128	337	0.00337	0.59867
130	41	0.00041	0.5953
134	3	3e-05	0.59489
135	839	0.00839	0.59486
136	2817	0.02817	0.58647
139	15	0.00015	0.5583
140	443	0.00443	0.55815
141	2	2e-05	0.55372
143	1393	0.01393	0.5537
144	26	0.00026	0.53977
147	1342	0.01342	0.53951
148	1316	0.01316	0.52609
149	3520	0.0352	0.51293
150	1408	0.01408	0.47773
151	211	0.00211	0.46365
153	2101	0.02101	0.46154
154	1334	0.01334	0.44053
155	239	0.00239	0.42719
156	2742	0.02742	0.4248
158	1285	0.01285	0.39738
160	1201	0.01201	0.38453
162	720	0.0072	0.37252
163	1579	0.01579	0.36532
164	242	0.00242	0.34953
165	128	0.00128	0.34711
166	1395	0.01395	0.34583
167	686	0.00686	0.33188
168	843	0.00843	0.32502
169	776	0.00776	0.31659
170	2203	0.02203	0.30883
171	372	0.00372	0.2868
173	306	0.00306	0.28308
174	438	0.00438	0.28002
